iter	Passed	Remaining
502	4861	24134
503	4873	24134
504	4884	24134
505	4894	24126
506	4906	24126
507	4919	24133
508	4941	24183
509	4961	24223
510	4972	24222
511	4984	24223
512	4996	24223
513	5008	24223
514	5018	24217
515	5031	24223
516	5042	24219
517	5055	24224
518	5066	24221
519	5078	24218
520	5089	24216
521	5101	24218
522	5112	24212
523	5122	24204
524	5132	24197
525	5141	24182
526	5152	24176
527	5161	24165
528	5171	24154
529	5181	24147
530	5190	24134
531	5200	24127
532	5210	24118
533	5220	24107
534	5231	24102
535	5240	24091
536	5250	24082
537	5261	24076
538	5270	24062
539	5280	24054
540	5288	24038
541	5298	24030
542	5308	24019
543	5317	24007
544	5327	23999
545	5336	23983
546	5346	23975
547	5356	23966
548	5365	23952
549	5374	23939
550	5383	23929
551	5394	23923
552	5403	23909
553	5413	23902
554	5422	23887
555	5432	23879
556	5442	23869
557	5451	23856
558	5462	23852
559	5471	23841
560	5481	23830
561	5491	23821
562	5500	23811
563	5510	23801
564	5519	23788
565	5529	23777
566	5539	23768
567	5547	23753
568	5557	23744
569	5566	23730
570	5577	23725
571	5586	23712
572	5595	23699
573	5605	23689
574	5613	23674
575	5623	23663
576	5631	23649
577	5641	23640
578	5651	23631
579	5660	23617
580	5669	23606
581	5678	23593
582	5689	23586
583	5697	23571
584	5707	23562
585	5716	23547
586	5725	23536
587	5735	23526
588	5744	23512
589	5753	23500
590	5761	23486
591	5770	23473
592	5780	23461
593	5788	23445
594	5797	23432
595	5805	23417
596	5815	23408
597	5824	23394
598	5833	23384
599	5842	23371
600	5852	23359
601	5860	23345
602	5869	23332
603	5878	23319
604	5886	23304
605	5895	23291
606	5904	23276
607	5913	23266
608	5922	23253
609	5931	23239
610	5940	23225
611	5948	23212
612	5957	23198
613	5966	23186
614	5975	23172
615	5984	23159
616	5992	23145
617	6001	23132
618	6010	23120
619	6019	23107
620	6028	23095
621	6037	23080
622	6045	23066
623	6054	23052
624	6063	23040
625	6071	23026
626	6081	23016
627	6090	23002
628	6098	22989
629	6107	22974
630	6115	22960
631	6124	22946
632	6132	22932
633	6141	22919
634	6150	22905
635	6158	22892
636	6168	22880
