iter	Logloss
0	0.6846063196
1	0.677314203
2	0.670730085
3	0.6629822267
4	0.6563983654
5	0.6509301644
6	0.6457078317
7	0.639650167
8	0.6340301709
9	0.6292665734
10	0.6238971264
11	0.6202730483
12	0.6162298254
13	0.6124856142
14	0.6091571046
15	0.6059815989
16	0.6026806712
17	0.5988699539
18	0.5952314715
19	0.5920276297
20	0.5894320565
21	0.5862879671
22	0.5838745162
23	0.5814799328
24	0.5791604836
25	0.5765543256
26	0.5745743785
27	0.5725262484
28	0.5706834157
29	0.5684096461
30	0.5667717695
31	0.5647252094
32	0.5630130627
33	0.5610969092
34	0.559328649
35	0.5579379605
36	0.5562444724
37	0.5547936301
38	0.5532495364
39	0.5519811884
40	0.5503268132
41	0.5491179545
42	0.547935945
43	0.546830989
44	0.545635157
45	0.5443870066
46	0.5433577696
47	0.5421045983
48	0.541034038
49	0.5402087526
50	0.5393257508
51	0.5385493732
52	0.5376077717
53	0.536284837
54	0.535136181
55	0.5340422944
56	0.532888475
57	0.5318461825
58	0.5307360789
59	0.5298968198
60	0.5289953004
61	0.5282664226
62	0.5275831828
63	0.5265598218
64	0.5257803759
65	0.5247896172
66	0.5240764289
67	0.5234722062
68	0.5226621359
69	0.5218385674
70	0.5212468203
71	0.5204178414
72	0.5198060855
73	0.5191501955
74	0.5184160837
75	0.517689165
76	0.5168682242
77	0.5160468389
78	0.5154575245
79	0.5148012507
80	0.514134069
81	0.5134691961
82	0.512974425
83	0.5124372087
84	0.5117857091
85	0.5113469994
86	0.5105044797
87	0.5099047846
88	0.5093815235
89	0.5086594689
90	0.5079796432
91	0.5073387057
92	0.5064732768
93	0.5060686973
94	0.5055180013
95	0.504953713
96	0.5044579614
97	0.5040356581
98	0.5036039152
99	0.5030411657
100	0.5026603606
101	0.5022381796
102	0.501674601
103	0.5011925211
104	0.5006647693
105	0.5002031537
106	0.499571987
107	0.4992247138
108	0.4985293948
109	0.4980272344
110	0.4975856317
111	0.4969642642
112	0.4966107959
113	0.4962531111
114	0.4956816566
115	0.4949772326
116	0.4944078022
117	0.493886116
118	0.4935174353
119	0.4930215216
120	0.4924937547
121	0.49191085
122	0.4916231702
123	0.4910978925
124	0.490628376
125	0.4902730743
126	0.4898834724
127	0.4893784908
128	0.48891285
129	0.4884656391
130	0.4879196719
131	0.487501575
132	0.4870455647
133	0.4867121779
134	0.4863433621
135	0.4859791446
136	0.4855251581
137	0.485132941
138	0.4847475145
139	0.4843457639
140	0.4840050406
141	0.4837111892
142	0.4832968688
143	0.482858271
144	0.4824989259
145	0.4821919634
146	0.4818027389
147	0.4814131972
148	0.4812098021
149	0.4808977454
150	0.4805495914
151	0.4801618291
152	0.4798733707
153	0.4795585489
154	0.4792550279
155	0.4789366011
156	0.4784877333
157	0.4781790461
158	0.4779038966
159	0.4776710604
160	0.4774117838
161	0.4770826566
162	0.4768301831
163	0.4763816523
164	0.4761224132
165	0.4757211732
166	0.4754958766
167	0.4751284854
168	0.4748133438
169	0.4745605316
170	0.4743295954
171	0.4740493676
172	0.4737930581
173	0.4734951338
174	0.4731908492
175	0.4727786336
176	0.4724754552
177	0.4722291212
178	0.4719265668
179	0.4716137442
180	0.4713307063
181	0.4711175038
182	0.4708622459
183	0.4706687484
184	0.4704068047
185	0.4701596503
186	0.4699326854
187	0.4696517698
188	0.469450246
189	0.469116449
190	0.4688407809
191	0.4685606911
192	0.4682405361
193	0.4680628858
194	0.4678256645
195	0.4675212781
196	0.4672534493
197	0.46699883
198	0.4666460797
199	0.4663628261
200	0.4661883971
201	0.4659604446
202	0.4656822667
203	0.4653893772
204	0.4652083828
205	0.4648859115
206	0.4645812737
207	0.464371125
208	0.4640996709
209	0.46379117
210	0.4634931987
211	0.4633036586
212	0.4630855811
213	0.4628287219
214	0.4626440666
215	0.462311442
216	0.462067576
217	0.4618783676
218	0.4616029444
219	0.4614470631
220	0.4611227112
221	0.4609600435
222	0.4607415672
223	0.4604866403
224	0.4602567764
225	0.4600747469
226	0.4599206753
227	0.4597717676
228	0.459630221
229	0.459421258
230	0.4591884777
231	0.4589182123
232	0.458638492
233	0.4583727034
234	0.4581581137
235	0.4579578093
236	0.4577074723
237	0.457383082
238	0.4571740532
239	0.456926582
240	0.4566175168
241	0.4563460729
242	0.4561565901
243	0.4559941598
244	0.4557928707
245	0.4556018601
246	0.4553854337
247	0.4551065911
248	0.4549170837
249	0.4547514698
250	0.4545540778
251	0.454319511
252	0.4541261547
253	0.4539048998
254	0.4536379226
255	0.4534397846
256	0.4532380897
257	0.4529879311
258	0.4528022206
259	0.4525871179
260	0.4523286062
261	0.452089106
262	0.451822522
263	0.4516336048
264	0.4514532497
265	0.4512052218
266	0.4509594287
267	0.4508419105
268	0.4506431945
269	0.4504324505
270	0.4502918052
271	0.4500982977
272	0.4498582427
273	0.4496223017
274	0.4494675733
275	0.4492333834
276	0.4490293862
277	0.4487854935
278	0.4485911483
279	0.4483721756
280	0.4481449178
281	0.4480038093
282	0.4477486552
283	0.4475690556
284	0.4473785355
285	0.4471955135
286	0.4469974462
287	0.4466535731
288	0.4464264472
289	0.4462191193
290	0.4460046519
291	0.4458334973
292	0.4456466402
293	0.4454404396
294	0.445201808
295	0.4450760547
296	0.444882614
297	0.4446419146
298	0.4444684596
299	0.4442736412
300	0.4440834115
301	0.4438199569
302	0.4436840366
303	0.4434277894
304	0.4432938774
305	0.4430876097
306	0.4428743675
307	0.4426870324
308	0.442417641
309	0.4422101984
310	0.4419354607
311	0.4417502279
312	0.4416005484
313	0.4413044391
314	0.4410842739
315	0.4408619997
316	0.4406472403
317	0.4404353762
318	0.4402545779
319	0.4400118374
320	0.4398201913
321	0.439608329
322	0.4393979324
323	0.4392025065
324	0.4389979449
325	0.4387355214
326	0.4384294473
327	0.4382181745
328	0.4380424931
329	0.4379298456
330	0.4377138744
331	0.4374564877
332	0.4372690526
333	0.4370811945
334	0.4369602117
335	0.4367378606
336	0.4365978344
337	0.4363775873
338	0.436194675
339	0.435956647
340	0.435821941
341	0.4356128259
342	0.4354230298
343	0.435297184
344	0.4350290269
345	0.4348841831
346	0.4347274195
347	0.4345658841
348	0.4344451499
349	0.4342486194
350	0.4340395897
351	0.4339046437
352	0.4338201986
353	0.4335893531
354	0.4333277008
355	0.4331068021
356	0.4329229204
357	0.4327307969
358	0.4325760831
359	0.4323085789
360	0.4320971369
361	0.4318710368
362	0.4316457208
363	0.4314526951
364	0.431255448
365	0.4311402593
366	0.4309587049
367	0.4307988394
368	0.4306274095
369	0.4303128739
370	0.4301233429
371	0.4299105914
372	0.429730798
373	0.4295159184
374	0.4293780661
375	0.4291650852
376	0.4289549473
377	0.4287489776
378	0.4285691793
379	0.4283430696
380	0.4281662865
381	0.4279582713
382	0.4277765987
383	0.4276718148
384	0.4274900772
385	0.4274137257
386	0.4272449129
387	0.4270744254
388	0.426900246
389	0.4267526071
390	0.4265392631
391	0.4263551163
392	0.4262552971
393	0.4260222429
394	0.4258395829
395	0.4256852122
396	0.4255122898
397	0.4253692895
398	0.4251789393
399	0.4249429293
400	0.424747256
401	0.4246221846
402	0.4244425955
